station;january;february;march;april;may;june;july;august;september;october;november;december
Wrocław Główny;0.8666;0.8838;0.8451;0.8771;0.8588;0.7865;0.7398;0.7805;0.8148;0.798;0.8061;0.8139
Poznań Główny;0.8722;0.8709;0.8658;0.8882;0.8688;0.8316;0.8196;0.8272;0.8787;0.8847;0.8561;0.8298
Katowice;0.8757;0.8976;0.858;0.8873;0.8772;0.8375;0.8232;0.8408;0.8933;0.884;0.8738;0.7988
Kraków Główny;0.8582;0.877;0.7879;0.8796;0.8633;0.8314;0.8131;0.8215;0.8988;0.9004;0.8675;0.7853
Warszawa Centralna;0.8185;0.8238;0.758;0.7952;0.7516;0.7215;0.699;0.7066;0.7917;0.7782;0.7651;0.742
Opole Główne;0.7694;0.8134;0.7241;0.7875;0.7904;0.6751;0.624;0.6349;0.6939;0.6639;0.6086;0.585
Gdańsk Główny;0.9196;0.9275;0.9241;0.922;0.9119;0.8666;0.8156;0.8262;0.8887;0.8964;0.8894;0.8595
Rzeszów Główny;0.8977;0.91;0.7969;0.9099;0.8647;0.7956;0.7853;0.786;0.9094;0.8591;0.9192;0.8744
Bydgoszcz Główna;0.8715;0.8722;0.8485;0.8456;0.871;0.8217;0.745;0.7844;0.894;0.8861;0.8563;0.7967
Szczecin Główny;0.8936;0.876;0.9042;0.9115;0.9122;0.8401;0.8095;0.8379;0.8842;0.8719;0.8898;0.8949
Zielona Góra Główna;0.8452;0.8171;0.8007;0.8074;0.7919;0.7222;0.7267;0.7851;0.7869;0.8237;0.8113;0.7993
Lódź Widzew;0.9063;0.9412;0.9191;0.948;0.9352;0.898;0.8227;0.862;0.8803;0.8915;0.8874;0.8527
Toruń Główny;0.9035;0.9006;0.8763;0.863;0.8965;0.8287;0.8438;0.8106;0.8955;0.8939;0.8786;0.8121
Lublin Główny;0.914;0.925;0.8486;0.9039;0.8257;0.8613;0.8442;0.8704;0.918;0.9005;0.8788;0.8148
Olsztyn Główny;0.9334;0.9331;0.9358;0.8952;0.9233;0.8538;0.8073;0.7936;0.887;0.855;0.8918;0.8563
Kielce;0.9059;0.9188;0.901;0.935;0.886;0.8572;0.8603;0.8843;0.8977;0.8918;0.802;0.8051
Gorzów Wielkopolski;0.8405;0.7692;0.8057;0.8153;0.8027;0.7478;0.7522;0.8054;0.6794;0.7192;0.7344;0.598
Białystok;0.8586;0.8489;0.8745;0.9016;0.8914;0.8846;0.8785;0.8787;0.8688;0.8768;0.8915;0.7884
